game_id,season,week,simple_spread,enhanced_spread,simple_spread_edge,enhanced_spread_edge,simple_spread_edge_abs,enhanced_spread_edge_abs,avg_spread_edge,avg_spread_edge_abs,spread_agreement,spread_model_diff,vegas_spread,vegas_spread_abs,big_favorite,close_game,recent_spread_acc,home_games,away_games,combined_games,home_rest,away_rest,rest_diff,home_post_bye,away_post_bye,bye_advantage,week_normalized,early_season,mid_season,late_season,neutral_site,is_dome,is_primetime,spread_cover,actual_spread
401671781,2024,13,-1.8016139772503514,-6.8896282794676456,4.698386022749649,-0.38962827946764556,4.698386022749649,0.38962827946764556,2.1543788716410015,2.1543788716410015,0,5.088014302217294,-6.5,6.5,0,0,0.35,1.0,1.0,1.0,14,8,6,1,0,1,0.7647058823529411,0,0,1,0,0,1,0.0,-25
401671686,2024,13,-3.849282322478536,-6.694971225316834,2.650717677521464,-0.1949712253168343,2.650717677521464,0.1949712253168343,1.2278732261023144,1.2278732261023144,0,2.8456889028382983,-6.5,6.5,0,0,0.35,1.0,1.0,1.0,9,11,-2,0,0,0,0.7647058823529411,0,0,1,0,0,0,0.0,-9
401671601,2024,14,-2.190024542779623,1.4375914919848287,-7.690024542779623,-4.062408508015171,7.690024542779623,4.062408508015171,-5.876216525397397,5.876216525397397,1,3.627616034764452,5.5,5.5,0,0,0.4,1.0,1.0,1.0,10,7,3,0,0,0,0.8235294117647058,0,0,1,0,0,0,1.0,3
401671631,2024,14,-6.8965682082236865,-8.326636939971232,-0.39656820822368655,-1.826636939971232,0.39656820822368655,1.826636939971232,-1.1116025740974589,1.1116025740974589,1,1.4300687317475456,-6.5,6.5,0,0,0.4,1.0,1.0,1.0,7,5,2,0,0,0,0.8235294117647058,0,0,1,0,0,0,1.0,-13
401671648,2024,14,-2.1326061536193652,-7.661209933735044,3.3673938463806348,-2.1612099337350443,3.3673938463806348,2.1612099337350443,0.6030919563227952,0.6030919563227952,0,5.528603780115679,-5.5,5.5,0,0,0.4,1.0,1.0,1.0,7,7,0,0,0,0,0.8235294117647058,0,0,1,0,1,0,0.0,-21
401671654,2024,14,-7.1409355001846935,-10.839321704638467,-0.6409355001846935,-4.339321704638467,0.6409355001846935,4.339321704638467,-2.4901286024115805,2.4901286024115805,1,3.698386204453773,-6.5,6.5,0,0,0.45,1.0,1.0,1.0,7,9,-2,0,0,0,0.8235294117647058,0,0,1,0,0,0,1.0,-15
401671713,2024,14,-9.542266079948256,-12.804586789525944,3.9577339200517443,0.6954132104740562,3.9577339200517443,0.6954132104740562,2.326573565262901,2.326573565262901,1,3.262320709577688,-13.5,13.5,1,0,0.5,1.0,1.0,1.0,7,7,0,0,0,0,0.8235294117647058,0,0,1,0,0,0,1.0,-6
401671821,2024,14,-3.412183975376747,-4.074817083212606,0.08781602462325289,-0.574817083212606,0.08781602462325289,0.574817083212606,-0.24350052929467658,0.24350052929467658,0,0.6626331078358589,-3.5,3.5,0,0,0.45,1.0,1.0,1.0,7,7,0,0,0,0,0.8235294117647058,0,0,1,0,0,0,0.0,4
401671660,2024,14,-4.744784790160478,-2.2752045214349663,-1.2447847901604776,1.2247954785650337,1.2447847901604776,1.2247954785650337,-0.009994655797721741,0.009994655797721741,0,2.4695802687255113,-3.5,3.5,0,0,0.35,1.0,1.0,1.0,7,7,0,0,0,0,0.8235294117647058,0,0,1,0,1,0,0.0,12
401671773,2024,14,-2.0729162298549886,1.0139475154692934,-5.572916229854989,-2.4860524845307066,5.572916229854989,2.4860524845307066,-4.029484357192848,4.029484357192848,1,3.086863745324282,3.5,3.5,0,0,0.4,1.0,1.0,1.0,7,6,1,0,0,0,0.8235294117647058,0,0,1,0,1,0,1.0,-2
