Unnamed: 0,Spread,Total,Moneyline,Unnamed: 4,Unnamed: 5,Unnamed: 6
Consensus,ILL -9.5,o41.5,-375,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
193 North Texas,7-2 ATS 71%,7-2 O/U,9-1 SU 99%,Create Free Account,Create Free Account,Create Free Account
194 Rice,5-4 ATS 29%,5-4 O/U,5-5 SU 1%,Create Free Account,Create Free Account,Create Free Account
Open,UNT -17.5,o55.5,-1100,,,
Consensus,UNT -18.5,o54.5,-1100,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
209 Western Kentucky,7-2 ATS 85%,4-5 O/U,8-2 SU 1%,Create Free Account,Create Free Account,Create Free Account
210 LSU,3-6 ATS 15%,2-7 O/U,6-4 SU 99%,Create Free Account,Create Free Account,Create Free Account
Open,LSU -22.5,o50.5,-1800,,,
Consensus,LSU -21.5,o50.5,-1800,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
135 BYU,6-3 ATS 66%,4-5 O/U,9-1 SU,Create Free Account,Create Free Account,Create Free Account
136 Cincinnati,5-4 ATS 34%,5-4 O/U,7-3 SU,Create Free Account,Create Free Account,Create Free Account
Open,CIN -3.5,o53.5,-125,,,
Consensus,BYU -2.5,o54.5,-130,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
165 Arizona State,4-4-1 ATS 81%,2-7 O/U,7-3 SU 99%,Create Free Account,Create Free Account,Create Free Account
166 Colorado,4-6 ATS 19%,4-6 O/U,3-7 SU 1%,Create Free Account,Create Free Account,Create Free Account
Open,ASU -4.5,o49.5,-325,,,
Consensus,ASU -7.5,o48.5,-298,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
175 Washington,4-5 ATS 95%,4-5 O/U,7-3 SU 99%,Create Free Account,Create Free Account,Create Free Account
176 UCLA,3-7 ATS 5%,5-5 O/U,3-7 SU 1%,Create Free Account,Create Free Account,Create Free Account
Open,WASH -10.5,o53.5,-455,,,
Consensus,WASH -10.5,o52.5,-395,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
177 San Jose State,4-5 ATS 17%,5-4 O/U,3-7 SU,Create Free Account,Create Free Account,Create Free Account
178 San Diego State,7-2 ATS 83%,3-6 O/U,8-2 SU,Create Free Account,Create Free Account,Create Free Account
Open,SDSU -12.5,o49.5,-440,,,
Consensus,SDSU -11.5,o49.5,-440,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
